,Symbol
0,A
1,AA
2,AAC
3,AACG
4,AACI
5,AADI
6,AAIC
7,AAIC^B
8,AAIC^C
9,AAIN
10,AAL
11,AAM^A
12,AAM^B
13,AAMC
14,AAME
15,AAN
16,AAOI
17,AAON
18,AAP
19,AAPL
20,AAQC
21,AAT
22,AATC
23,AAU
24,AAWW
25,AB
26,ABB
27,ABBV
28,ABC
29,ABCB
30,ABCL
31,ABCM
32,ABEO
33,ABEV
34,ABG
35,ABGI
36,ABIO
37,ABM
38,ABMD
39,ABNB
40,ABOS
41,ABR
42,ABR^D
43,ABR^E
44,ABR^F
45,ABSI
46,ABST
47,ABT
48,ABTX
49,ABUS
50,ABVC
51,AC
52,ACA
53,ACAB
54,ACABU
55,ACABW
56,ACAD
57,ACAH
58,ACAHU
59,ACAHW
60,ACAQ
61,ACAX
62,ACAXR
63,ACB
64,ACBA
65,ACBAU
66,ACBAW
67,ACC
68,ACCD
69,ACCO
70,ACDI
71,ACEL
72,ACER
73,ACET
74,ACEV
75,ACEVW
76,ACGL
77,ACGLN
78,ACGLO
79,ACH
80,ACHC
81,ACHL
82,ACHR
83,ACHV
84,ACI
85,ACII
86,ACIU
87,ACIW
88,ACKIT
89,ACKIU
90,ACKIW
91,ACLS
92,ACLX
93,ACM
94,ACMR
95,ACN
96,ACNB
97,ACON
98,ACONW
99,ACOR
100,ACP
101,ACP^A
102,ACQR
103,ACQRU
104,ACQRW
105,ACR
106,ACR^C
107,ACR^D
108,ACRE
109,ACRO
110,ACRS
111,ACRX
112,ACST
113,ACT
114,ACTG
115,ACU
116,ACV
117,ACVA
118,ACXP
119,ADAG
120,ADAL
121,ADALU
122,ADALW
123,ADAP
124,ADBE
125,ADC
126,ADC^A
127,ADCT
128,ADER
129,ADERU
130,ADERW
131,ADES
132,ADEX
133,ADGI
134,ADI
135,ADIL
136,ADILW
137,ADM
138,ADMA
139,ADMP
140,ADN
141,ADNT
142,ADNWW
143,ADOC
144,ADOCR
145,ADOCW
146,ADP
147,ADPT
148,ADRA
149,ADRT
150,ADSE
151,ADSEW
152,ADSK
153,ADT
154,ADTH
155,ADTHW
156,ADTN
157,ADTX
158,ADUS
159,ADV
160,ADVM
161,ADVWW
162,ADX
163,ADXN
164,AE
165,AEAC
166,AEACW
167,AEAE
168,AEAEW
169,AEE
170,AEF
171,AEFC
172,AEG
173,AEHA
174,AEHAU
175,AEHAW
176,AEHL
177,AEHR
178,AEI
179,AEIS
180,AEL
181,AEL^A
182,AEL^B
183,AEM
184,AEMD
185,AENZ
186,AEO
187,AEP
188,AEPPZ
189,AER
190,AERC
191,AERI
192,AES
193,AESC
194,AESE
195,AEVA
196,AEY
197,AEYE
198,AEZS
199,AFAC
200,AFACU
201,AFACW
202,AFAQ
203,AFAQW
204,AFAR
205,AFARU
206,AFARW
207,AFB
208,AFBI
209,AFCG
210,AFG
211,AFGB
212,AFGC
213,AFGD
214,AFGE
215,AFIB
216,AFL
217,AFMD
218,AFRI
219,AFRIW
220,AFRM
221,AFT
222,AFTR
223,AFYA
224,AG
225,AGAC
226,AGBA
227,AGBAR
228,AGBAW
229,AGCB
230,AGCO
231,AGD
232,AGE
233,AGEN
234,AGFS
235,AGFY
236,AGGR
237,AGGRU
238,AGI
239,AGIL
240,AGILW
241,AGIO
242,AGL
243,AGLE
244,AGM
245,AGM^C
246,AGM^D
